,hero1,hero2
3536,"SNIDER, DET. LOU",GAUNT/MENDEL STROMM
3537,DIAMONDHEAD/DYKER,SPHINX
3538,MAELSTROM/MALCOLM ST,PHASTOS [ETERNAL]
3539,"WATSON-PARKER, MARY ","NELSON, FRANKLIN FOG"
3540,ISAAC,CAPTAIN MARVEL/CAPTA
3541,PILEDRIVER II/BRIAN ,DR. DOOM/VICTOR VON 
3542,WHIZZER III/JAMES SA,TINKERER
3543,HULK/DR. ROBERT BRUC,DOC SAMSON/DR. LEONA
3544,BLACK KNIGHT V/DANE ,PILEDRIVER II/BRIAN 
3545,FORGOTTEN ONE/GILGAM,IRON MAN/TONY STARK 
3546,NEZARR,ETERNITY/ADAM QADMON
3547,TRITON,ANT-MAN II/SCOTT HAR
3548,BULLDOZER/HENRY CAMP,WASP/JANET VAN DYNE 
3549,DEATHBIRD [SHI'AR],WARSTAR
3550,DAZZLER II/ALLISON B,PSYLOCKE/ELISABETH B
3551,BRUTUS,WONDER MAN/SIMON WIL
3552,"MALUS, DR. KARL","ERWIN, MORLEY"
3553,KRAVEN THE HUNTER/SE,SPIDER-MAN/PETER PAR
3554,THOR/DR. DONALD BLAK,HOGUN [ASGARDIAN]
3555,THANOS,MAKKARI/MIKE KHARY/I
3556,"RESTON, CLIVE",SHANG-CHI
3557,WOLVERINE/LOGAN ,VISION DOPPELGANGER 
3558,"TAYLOR, LEILA","DUGAN, TIMOTHY ALOYI"
3559,STORM 2013,ANGEL/WARREN KENNETH
3560,IZANAMI,"SCOTT, PETER"
3561,IRON MAN/TONY STARK ,CAPRICORN/WILLARD WE
3562,CHAMBER/JONOTHON STA,BANSHEE/SEAN CASSIDY
3563,SUPER SABRE/MARTIN F,STONEWALL/LOUIS HAMI
3564,RAGE/ELVIN DARYL HAL,"STAPLES, EDNA M. GRA"
3565,"RICHARDS, FRANKLIN B",QUICKSILVER/PIETRO M
3566,PLUTO [OLYMPIAN],THING/BENJAMIN J. GR
3567,"HUDSON, HEATHER",SINEW/
3568,SPIDER-MAN/PETER PAR,"CACHES, PROF. MARINA"
3569,SERSI/SYLVIA,THENA
3570,"SUMMERS, NATHAN CHRI",PICO
3571,CYCLOPS/SCOTT SUMMER,ICEMAN/ROBERT BOBBY 
3572,COLOSSUS II/PETER RA,SHADOWCAT/KATHERINE 
3573,HAWK,ANGEL/WARREN KENNETH
3574,SABRETOOTH/VICTOR CR,DESTINY II/IRENE ADL
3575,SCARLET WITCH/WANDA ,NIGHT THRASHER/DUANE
3576,INVISIBLE WOMAN/SUE ,THING/BENJAMIN J. GR
3577,SUNSPOT/ROBERTO DACO,THUNDERBIRD II/JAMES
3578,APE MAN/GORDON MONK ,MADAME MASQUE/GIULIE
3579,WOLVERINE SKRULL,"STANLEY, TOM"
3580,DOMINO III/BEATRICE/,"SUMMERS, NATHAN CHRI"
3581,UNION JACK II/BRIAN ,SUB-MARINER/NAMOR MA
3582,DIAMOND LIL/LILLIAN ,SHAMAN/MICHAEL TWOYO
3583,BINARY/CAROL DANVERS,MR. FANTASTIC/REED R
3584,PROFESSOR X/CHARLES ,MAGNETO/MAGNUS/ERIC 
3585,EMPLATE/MARIUS ST. C,JUBILEE/JUBILATION L
3586,"ROBERTSON, JOE","LEEDS, BETTY BRANT"
3587,CYCLOPS/SCOTT SUMMER,SCARLET WITCH/WANDA 
3588,LADY LARK/LINDA LEWI,DR. SPECTRUM/JOSEPH 
3589,ULTRON,VOLCANA/MARSHA ROSEN
3590,"ANDERSON, GINA","MERRYWEATHER, IRENE"
3591,MEGGAN,PHOENIX III/RACHEL S
3592,BLACK WIDOW/NATASHA ,"COOPER, DR. VALERIE"
3593,STRYFE,STRONG GUY/GUIDO CAR
3594,JAILBAIT/JESS,HOTSHOT/LOUIS
3595,CALIBAN/,WOLVERINE/LOGAN 
3596,MAGNETO/MAGNUS/ERIC ,CAPTAIN AMERICA
3597,SILVERMANE/SILVIO MA,SHA SHAN
3598,NEREEL,PSYLOCKE/ELISABETH B
3599,BLACK WIDOW/NATASHA ,DEATHCRY [SHI'AR]
3600,IRON MAN/TONY STARK ,STORM/ORORO MUNROE S
3601,HAWK,"HORTON, PROFESSOR PH"
3602,X-MAN/NATHAN GREY ,MARVEL GIRL/JEAN GRE
3603,THING/BENJAMIN J. GR,"SUMMERS, NATHAN CHRI"
3604,"PEREZ, GEORGE",HUMAN TORCH/JOHNNY S
3605,ENCHANTRESS/AMORA/HE,WONG
3606,SILVER SURFER/NORRIN,RUNNER
3607,THING/BENJAMIN J. GR,NIGHTHAWK II/KYLE RI
3608,ANT-MAN II/SCOTT HAR,"TYGER, LORD"
3609,DELILAH,"WATSON-PARKER, MARY "
3610,BLOB/FRED J. DUKES,ZERO
3611,CAPTAIN AMERICA,BLACK WIDOW/NATASHA 
3612,SABRA/RUTH BAT-SERAP,SHE-HULK/JENNIFER WA
3613,THING/BENJAMIN J. GR,GORGON [INHUMAN]
3614,DR. DRUID/ANTHONY LU,MOLE MAN/HARVEY RUPE
3615,QUASAR III/WENDELL V,"BALLANTINE, KAYLA"
3616,"ROSS, GEN. THADDEUS ",ANGEL/WARREN KENNETH
3617,COUNTERWEIGHT II/KAT,WARLOCK III
3618,CYCLOPS/SCOTT SUMMER,CANNONBALL II/SAM GU
3619,KURSE/ALGRIM [ASGARD,IRON MAN/TONY STARK 
3620,THUNDERBIRD II/JAMES,CANNONBALL II/SAM GU
3621,QUASAR III/WENDELL V,NOVA II/FRANKIE RAYE
3622,CANNONBALL II/SAM GU,PROFESSOR X/CHARLES 
3623,HULK/DR. ROBERT BRUC,MODOK/GEORGE TARLETO
3624,REJECT/RAN-SAK [DEVI,THENA
3625,MAGUS,NEBULA
3626,PROFESSOR X/CHARLES ,"RANSOME, JENNIFER AM"
3627,IRON MAN/TONY STARK ,ULTRON
3628,"MILLER, FRANK",INVISIBLE WOMAN/SUE 
3629,WHIZZER II/STANLEY S,BEAST/HENRY &HANK& P
3630,"JAMESON, J. JONAH","LANG, CASSANDRA CASS"
3631,BUSHMASTER II/QUINCY,BLACK MAMBA/TANYA SE
3632,MARVEL GIRL/JEAN GRE,SPIDER-MAN/PETER PAR
3633,ANT-MAN/DR. HENRY J.,"D'ANGELO, LIEUTENANT"
3634,COLOSSUS II/PETER RA,ETERNITY/ADAM QADMON
3635,FRIDAY,NAMORITA/NITA PRENTI
3636,PROFESSOR X/CHARLES ,PSYLOCKE/ELISABETH B
3637,QUICKSILVER/PIETRO M,THING/BENJAMIN J. GR
3638,MASTER PANDEMONIUM/M,MORBIUS/DR. MICHAEL 
3639,"STUART, DR. ALISTAIR",CERISE II [SHI'AR]
3640,"RICHARDS, FRANKLIN B",MR. FANTASTIC/REED R
3641,"OSBORN, HARRY","STACY, GWEN"
3642,"NELSON, FRANKLIN FOG","JAMESON, COL. JOHN "
3643,RICTOR/JULIO ESTEBAN,WOLFSBANE/RAHNE SINC
3644,SPIDER-MAN/PETER PAR,LIZARD/DR. CURTIS CO
3645,FLATMAN,JOLT/HALLIE TAKAHAMA
3646,SHE-HULK DOPPELGANGE,ETERNITY/ADAM QADMON
3647,IRON,FIXER II/PAUL NORBER
3648,BALDER [ASGARDIAN],SIF
3649,SASQUATCH/WALTER LAN,MARRINA/MARRINA SMAL
3650,"GRANT, GLORIA GLORY","WATSON, KRISTY"
3651,MIDNIGHT/M'NAI,ZEMO/BARON HEINRICH 
3652,GALACTUS/GALAN,NOVA/RICHARD RIDER
3653,PROFESSOR X/CHARLES ,BISHOP /
3654,LILANDRA NERAMANI [S,SHADOWCAT/KATHERINE 
3655,HOBGOBLIN,CH'OD
3656,"JONES, HUGH","HALE, JONAS"
3657,"TRASK, LAWRENCE LARR",SCARLET WITCH/WANDA 
3658,HUMAN TORCH/JOHNNY S,WIZARD/BENTLEY WITTM
3659,MOONSTONE II/KARLA S,MUTANT MASTER
3660,"BREWER, DR. MELINDA",KINGPIN/WILSON FISK
3661,"DUGAN, TIMOTHY ALOYI","RUNCITER, GAIL"
3662,SKIN II/DONNA BLISS,"BLISS, BONNIE"
3663,QUICKSILVER/PIETRO M,SCARLET WITCH/WANDA 
3664,"JARVIS, EDWIN ",CAPTAIN AMERICA
3665,CAPTAIN AMERICA,CYCLOPS/SCOTT SUMMER
3666,HAWK,BEETLE ROBOT
3667,"PETROVITCH, IVAN",DAREDEVIL/MATT MURDO
3668,"ROBERTSON, JOE","JAMESON, J. JONAH"
3669,LILANDRA NERAMANI [S,"WILFORD, BONNIE"
3670,SHADOWCAT/KATHERINE ,NIGHTCRAWLER/KURT WA
3671,GENTRY,MURMUR II/ARLETTE TR
3672,GEMINI/JOSHUA LINK,GOG
3673,MAGNETO/MAGNUS/ERIC ,PHOENIX III/RACHEL S
3674,"TARR, BLACK JACK",SHANG-CHI
3675,HULK/DR. ROBERT BRUC,SUB-MARINER/NAMOR MA
3676,HUMAN TORCH/JOHNNY S,"JONES, GABE"
3677,SPIRAL,CANNONBALL II/SAM GU
3678,VINCENTE/,BULWARK/
3679,SCARLET WITCH/WANDA ,WONDER MAN/SIMON WIL
3680,PATRIOT/JEFF MACE,PATRIOT/JEFF MACE
3681,SILVER SAMURAI/KENYU,ROGUE /
3682,"COOPER, DR. VALERIE",STORM/ORORO MUNROE S
3683,DESTROYER III,HELA [ASGARDIAN]
3684,CR'REEE,CYCLOPS/SCOTT SUMMER
3685,IRON MAN/TONY STARK ,"HARKNESS, AGATHA"
3686,HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
3687,"LEI KUNG, THE THUNDE",IRON FIST/DANIEL RAN
3688,DR. DOOM/VICTOR VON ,CAPTAIN AMERICA
3689,CAPTAIN BRITAIN/BRIA,SABRA/RUTH BAT-SERAP
3690,VISION ,WASP/JANET VAN DYNE 
3691,WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
3692,LYJA LAZERFIST [SKRU,ROGUE /
3693,GHOST GIRL II/LILLI,SASQUATCH/WALTER LAN
3694,"FROST, ADRIENNE",BANSHEE/SEAN CASSIDY
3695,"NELSON, FRANKLIN FOG",WONDER MAN/SIMON WIL
3696,STINGRAY/DR. WALTER ,HELLCAT/PATSY WALKER
3697,FREE SPIRIT/CATHY WE,"ROTH, ARNIE"
3698,"SONDHEIM, ERICA",HULK/DR. ROBERT BRUC
3699,"CAGE, LUKE/CARL LUCA",KINGPIN/WILSON FISK
3700,FAMINE | MUTANT X-VE,ICE-MAN | MUTANT X-V
3701,"WATSON-PARKER, MARY ",SPIDER-MAN/PETER PAR
3702,CYCLONE II/PIERRE FR,SUNSPOT/ROBERTO DACO
3703,ODDBALL/ELTON HEALEY,BULLET BIKER
3704,STRONG GUY/GUIDO CAR,HUMAN TORCH/JOHNNY S
3705,"ROSS, EVERETT KENNET","ACHEBE, REVEREND DOC"
3706,VANISHER,MAGNETO/MAGNUS/ERIC 
3707,COCO,BRUNO
3708,"BANNER, BETTY ROSS T","ROSS, GEN. THADDEUS "
3709,WONDER MAN/SIMON WIL,VISION 
3710,SENTRY 459,QUICKSILVER/PIETRO M
3711,BLACK PANTHER/T'CHAL,DAREDEVIL/MATT MURDO
3712,ZABU,ANGEL/WARREN KENNETH
3713,GIDEON,ANGEL/WARREN KENNETH
3714,ZEFRA,"KINCAID, JIMMY"
3715,SHADOWCAT/KATHERINE ,TRITON
3716,GREMLIN/,DAZZLER II/ALLISON B
3717,"O'HARA, ROBERT IRONG",SILVER SAMURAI/KENYU
3718,GATEWAY,BUSHMASTER II/QUINCY
3719,HOGUN [ASGARDIAN],VIZIER
3720,LYJA LAZERFIST [SKRU,"ZARRKO, ARTHUR"
3721,WILD CHILD/KYLE GIBN,MYSTIQUE/RAVEN DARKH
3722,"WALTERS, BILLY","DENNAGER, MICHAEL"
3723,"KINCAID, DR. JANE FO",BOVA
3724,CARGO,WOLVERINE/LOGAN 
3725,JUBILEE/JUBILATION L,SYNCH/EVERETT THOMAS
3726,HAVOK/ALEX SUMMERS ,QUASAR III/WENDELL V
3727,SWITCH/DEVON ALOMAR,"CALDERONE, HANNAH"
3728,"LOCKLIN, GENERAL MER",MAGIK/ILLYANA RASPUT
3729,AVALANCHE/DOMINIC PE,ROGUE /
3730,"WEIN, LEN","THOMAS, ROY"
3731,DIAMOND LIL/LILLIAN ,GUARDIAN V/JAMES MAC
3732,TORPEDO III/BROCK JO,TAGAK
3733,WOLFSBANE/RAHNE SINC,CYCLOPS/SCOTT SUMMER
3734,HOGUN [ASGARDIAN],HEIMDALL [ASGARDIAN]
3735,PILEDRIVER II/BRIAN ,STORM/ORORO MUNROE S
3736,"JAMESON, J. JONAH","ROBERTSON, JOE"
3737,COLOSSUS II/PETER RA,FLY
3738,SHE-HULK DOPPELGANGE,"COOPER, DR. VALERIE"
3739,BLOODSTRIKE/ERIC CON,"CHORD, MIYAMI"
3740,SABRA/RUTH BAT-SERAP,HUMAN TORCH/JOHNNY S
3741,VAGABOND/PRISCILLA L,VIPER II
3742,SCARLET WITCH/WANDA ,GAMBIT/REMY LEBEAU 
3743,ABSORBING MAN/CARL C,"HOBBS, HARRIS"
3744,"GARVIN, GEARS",NORTHSTAR/JEAN-PAUL 
3745,FACADE,"JAMESON, J. JONAH"
3746,IRON MAN/TONY STARK ,VISION 
3747,TORO/TOM RAYMOND,BUCKY/BUCKY BARNES
3748,"ACHEBE, REVEREND DOC",PREYY
3749,THING/BENJAMIN J. GR,PSYLOCKE/ELISABETH B
3750,COLOSSUS II/PETER RA,LILANDRA NERAMANI [S
3751,SIF,VOLSTAGG
3752,"DELAZNY, DORIAN","MARSHALL, GRANT"
3753,PALADIN/PAUL DENNIS,POLARIS/LORNA DANE
3754,ANT-MAN/DR. HENRY J.,DEATHCRY [SHI'AR]
3755,"SUMMERS, NATHAN CHRI",TOLLIVER
3756,MR. FANTASTIC/REED R,SILHOUETTE
3757,ABSORBING MAN | MUTA,DRAX | MUTANT X-VERS
3758,COLOSSUS II/PETER RA,WOLFSBANE/RAHNE SINC
3759,MASTER MONARCH/,RAZOR WIRE/
3760,ANT-MAN/DR. HENRY J.,DR. STRANGE/STEPHEN 
3761,PUDDLEGULP,HELA [ASGARDIAN]
3762,USAGENT/CAPTAIN JOHN,WONDER MAN/SIMON WIL
3763,MADAME MASQUE/GIULIE,HAWK
3764,CAPTAIN AMERICA,SILVER SURFER/NORRIN
3765,CHAMBER/JONOTHON STA,FATALE/PAMELA GREENW
3766,GATECRASHER,HARD BOILED HENWY
3767,KARNAK [INHUMAN],MR. FANTASTIC/REED R
3768,ARES [GREEK GOD],NAMORITA/NITA PRENTI
3769,MOONDRAGON/HEATHER D,SCARLET WITCH/WANDA 
3770,DR. STRANGE/STEPHEN ,GHOST RIDER II/JOHNN
3771,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
3772,ROMA,"CONAN, NEAL"
3773,EBONY,HUMAN TORCH/JOHNNY S
3774,ANT-MAN II/SCOTT HAR,BLACK WIDOW/NATASHA 
3775,CR'REEE,RAZA LONGKNIFE
3776,SABRETOOTH/VICTOR CR,WOLFSBANE/RAHNE SINC
3777,VILIVEN,MALEVOLENCE
3778,"FURY, COL. NICHOLAS ",DR. STRANGE/STEPHEN 
3779,FOXBAT,SHIP
3780,"GRANT, GLORIA GLORY","WALTERS, BILLY"
3781,CHAIN,LYJA LAZERFIST [SKRU
3782,ANGEL/WARREN KENNETH,AMERICAN EAGLE III/J
3783,"SIKORSKY, RAYMOND",VISION 
3784,"KETCH, DORIS AUDRA",TROLL/
3785,WASP/JANET VAN DYNE ,RINGMASTER/MAYNARD T
3786,JUBILEE/JUBILATION L,SYNCH/EVERETT THOMAS
3787,WOLVERINE/LOGAN ,DEATH
3788,QUICKSILVER/PIETRO M,CAPTAIN AMERICA
3789,DARKHAWK/CHRIS POWEL,THERA
3790,"GIDEON, CLAIRE","GIDEON, GREGORY HUNG"
3791,"OSBORN, NORMIE",SPIDER-MAN CLONE/BEN
3792,PALADIN/PAUL DENNIS,STARFOX/EROS
3793,SCARLET WITCH/WANDA ,CAPTAIN AMERICA
3794,GORGON [INHUMAN],HELLSTORM/DAIMON HEL
3795,"ST. CROIX, NICOLE",PENANCE/MONET ST. CR
3796,MAX,COMET MAN/DR. STEPHE
3797,HINDSIGHT LAD/CARLTO,NOVA/RICHARD RIDER
3798,"SMITH, SIR DENIS NAY",SHANG-CHI
3799,SWORDSMAN/JACQUES DU,CAPTAIN MARVEL II/MO
3800,MAGUS,WONDER MAN/SIMON WIL
3801,SCARLET WITCH/WANDA ,MASTERMIND/JASON WYN
3802,MOCKINGBIRD/DR. BARB,TIGRA/GREER NELSON
3803,"FRASER, DET. KATE",CAPTAIN BRITAIN/BRIA
3804,DR. DOOM/VICTOR VON ,ROGUE /
3805,SHAMAN/MICHAEL TWOYO,CYCLOPS/SCOTT SUMMER
3806,"WOO, JIMMY",HUMAN TORCH/JOHNNY S
3807,BLACK WIDOW/NATASHA ,CENTURY
3808,SUB-MARINER/NAMOR MA,AURORA/JEANNE-MARIE 
3809,CYCLOPS DOPPELGANGER,MAGUS
3810,"CARBONE, SALVATORE","FONDOZZI, MICKEY"
3811,MELTER/BRUNO HORGAN,"ROBESON, PROFESSOR K"
3812,DRAGONFLY/VERONICA D,SCREAMING MIMI/MELIS
3813,COLOSSUS II/PETER RA,SHIP
3814,"LEVIN, MAJOR DEBRA",BEAST/HENRY &HANK& P
3815,HUSSAR,CAPTAIN BRITAIN/BRIA
3816,"MASTERS, ALICIA REIS",MR. FANTASTIC/REED R
3817,"RICHARDS, NATHANIEL",MARGOYLE
3818,DR. DRUID/ANTHONY LU,LANN
3819,WRECKER III/DIRK GAR,PILEDRIVER II/BRIAN 
3820,BEAST/HENRY &HANK& P,MARVEL GIRL/JEAN GRE
3821,LOCKJAW [INHUMAN],NEBULO
3822,HOLY/FATHER HECTOR R,"VON RICHTOFEN, LT. M"
3823,THUNDERBALL/DR. ELIO,COLOSSUS II/PETER RA
3824,INVISIBLE WOMAN/SUE ,SUB-MARINER/NAMOR MA
3825,ZIRAN,ZEUS
3826,DR. DRUID/ANTHONY LU,"CARTER, PEGGY"
3827,BEAST/HENRY &HANK& P,GAMBIT/REMY LEBEAU 
3828,BEAST/HENRY &HANK& P,WOLFSBANE/RAHNE SINC
3829,HAWK,WASP/JANET VAN DYNE 
3830,MOONSTONE II/KARLA S,IRON MAN IV/JAMES R.
3831,"HENDERSON, CAROL",IMPULSE II/DWIGHT HU
3832,"TSURAYABA, MATSUO","MACTAGGERT, MOIRA KI"
3833,ULTRON,ABSORBING MAN/CARL C
3834,MIDAS,FIREFIGHT/
3835,MAKKARI/MIKE KHARY/I,"CHATTERTON, DAVE"
3836,SCARLET WITCH/WANDA ,TIGRA/GREER NELSON
3837,UATU,INFINITY II
3838,MISS AMERICA/MADELIN,PATRIOT/JEFF MACE
3839,CHAMBER/JONOTHON STA,"SINGH, DR."
3840,"BANNER, BETTY ROSS T","QUARTERMAIN, CLAY"
3841,VERTIGO II,"ANDERSSEN, TANYA"
3842,APOCALYPSE/EN SABAH ,X-MAN/NATHAN GREY 
3843,PLAGUE,COUNTERWEIGHT II/KAT
3844,"CARTER, PEGGY",FALCON/SAM WILSON
3845,DEATH,STORM/ORORO MUNROE S
3846,GOLDEN ARCHER II/WYA,ARCANNA/ARCANNA JONE
3847,DR. DOOM/VICTOR VON ,QUASAR DOPPELGANGER
3848,HUMAN TORCH/JOHNNY S,LUCAS
3849,MARVEL GIRL/JEAN GRE,USAGENT DOPPELGANGER
3850,FANDRAL [ASGARDIAN],PERRIKUS
3851,SUB-MARINER/NAMOR MA,"OSBORN, LIZ ALLAN"
3852,"MACTAGGERT, MOIRA KI",WOLFSBANE/RAHNE SINC
3853,LORELEI II/MELODI [A,BALDER [ASGARDIAN]
3854,BLACK PANTHER/T'CHAL,PHOENIX II
3855,THUNDERFIST/,GHOST GIRL/
3856,KAINE,GRIM HUNTER/KRAVINOF
3857,"MANH, COY NGA",MEGGAN
3858,IRON MAN IV/JAMES R.,MR. FANTASTIC/REED R
3859,CHINA DOLL,PHOENIX III/RACHEL S
3860,"PARETSKY, DR. GARY","ZARRKO, ARTHUR"
3861,FIRESTAR/ANGELICA JO,"CHORD, ANDREW"
3862,AVALANCHE/DOMINIC PE,MASQUE
3863,DRAX/ARTHUR DOUGLAS,"FURY, COL. NICHOLAS "
3864,GRANDMASTER/EN DWI G,PRIME MOVER
3865,WOLFSBANE/RAHNE SINC,SKIDS/SALLY BLEVINS
3866,ZEFRA,BELLAM
3867,THING/BENJAMIN J. GR,SPEEDBALL/ROBBIE BAL
3868,JINX,BISHOP /
3869,PIP/PRINCE GOFERN,GAMORA
3870,SIF,THOR/DR. DONALD BLAK
3871,THING/BENJAMIN J. GR,"MARTIN, ASHLEY"
3872,GORGON [INHUMAN],CRYSTAL [INHUMAN]
3873,ANT-MAN II/SCOTT HAR,CAPTAIN AMERICA
3874,QUICKSILVER/PIETRO M,LUNA/LUNA MAXIMOFF [
3875,TOWER,PIECEMEAL/GILBERT BE
3876,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S
3877,AREX,"RITTER, DEBORAH "
3878,GALACTUS/GALAN,CAPTAIN AMERICA
3879,KARNAK [INHUMAN],AHURA
3880,"RICHARDS, FRANKLIN B",SUB-MARINER/NAMOR MA
3881,MAGIK/ILLYANA RASPUT,"STRUCKER, ANDREAS"
3882,ZARAN/MAXIMILLIAN ZA,"ROSENTHAL, BERNIE"
3883,MILAN,"EDGERTON, GAYLE"
3884,ICEMAN/ROBERT BOBBY ,WHITE QUEEN/EMMA FRO
3885,DARKHAWK/CHRIS POWEL,DAREDEVIL/MATT MURDO
3886,SCHEMER/RICHARD FISK,"LEEDS, BETTY BRANT"
3887,"DWORMAN, JIM","BURR, CLAYTON"
3888,SHE-HULK/JENNIFER WA,HERCULES [GREEK GOD]
3889,"WATSON-PARKER, MARY ",SPIDER-MAN/PETER PAR
3890,CAPTAIN AMERICA,NOVA II/FRANKIE RAYE
3891,"MASTERS, ALICIA REIS",THING/BENJAMIN J. GR
3892,"COOPER, DR. VALERIE",RICTOR/JULIO ESTEBAN
3893,QUICKSILVER/PIETRO M,"SUMMERS, NATHAN CHRI"
3894,LIBRA/GUSTAV BRANDT,"JONES, RICHARD MILHO"
3895,GAMBIT/REMY LEBEAU ,HAWK
3896,BEYONDER,THING/BENJAMIN J. GR
3897,TECH-NOIR/,WINDSHEAR/COLIN ASHW
3898,NIGHTHAWK II/KYLE RI,LORELEI II/MELODI [A
3899,ICEMAN/ROBERT BOBBY ,PIPELINE/CORMICK GRI
3900,CYCLOPS/SCOTT SUMMER,CORSAIR
3901,DIABLO/ESTEBAN DE AB,CYCLOPS/SCOTT SUMMER
3902,"JAMESON, J. JONAH","BUKOWSKI, BUCK"
3903,"LE FEY, MORGAN",WASP/JANET VAN DYNE 
3904,DR. DOOM/VICTOR VON ,THING/BENJAMIN J. GR
3905,ROGUE /,JOSEPH
3906,BLACK KING/SEBASTIAN,MIRAGE II/DANIELLE M
3907,DOC SAMSON/DR. LEONA,ACHILLES II/HELMUT
3908,CEREBRO,NINA
3909,ICEMAN/ROBERT BOBBY ,SUB-MARINER/NAMOR MA
3910,CYCLOPS/SCOTT SUMMER,CAPTAIN AMERICA
3911,APOCALYPSE/EN SABAH ,SCALPHUNTER
3912,NOVA/RICHARD RIDER,MOON KNIGHT/MARC SPE
3913,MAGNUS,BOVA
3914,LOKI [ASGARDIAN],SIF
3915,CANNONBALL II/SAM GU,ZERO
3916,GAMBIT/REMY LEBEAU ,CAPTAIN AMERICA
3917,HURRICANE III,DIRT NAP
3918,FIREFIST/RUSTY COLLI,"HODGE, CAMERON"
3919,SPIDER-MAN/PETER PAR,"CACHES, PROF. MARINA"
3920,RED GHOST/IVAN KRAGO,IGOR
3921,HULK/DR. ROBERT BRUC,"TALBOT, GLENN"
3922,TRITON,BLACK BOLT/BLACKANTO
3923,"WING, COLLEEN","URICH, BEN"
3924,POWER MAN/ERIK JOSTE,TIGER SHARK/TODD ARL
3925,MARVEL GIRL/JEAN GRE,LONGSHOT
3926,"FURY, COL. NICHOLAS ",DAREDEVIL/MATT MURDO
3927,LICH,MANDARIN
3928,"CARTER, SHARON","MULDOON, SGT. BRIAN"
3929,"RAM, SIR",GARGOUILLE/
3930,MAGIK/ILLYANA RASPUT,N'ASTIRH
3931,SUB-MARINER/NAMOR MA,HUMAN TORCH ANDROID/
3932,"WATSON-PARKER, MARY ",SPIDER-MAN/PETER PAR
3933,EON,MOONDRAGON/HEATHER D
3934,HAWK,"LYNNE, MONICA"
3935,"THOMPSON, EUGENE FLA","GRANT, GLORIA GLORY"
3936,"TWAKI, DR. TED",THING/BENJAMIN J. GR
3937,PHOENIX III/RACHEL S,HAUPTMANN ENGLAND
3938,IN-BETWEENER,PIP/PRINCE GOFERN
3939,APOLLO [GREEK GOD],DR. DRUID/ANTHONY LU
3940,ELECTRO/MAX DILLON,"ROBERTSON, JOE"
3941,"RICHARDS, FRANKLIN B",JUBILEE/JUBILATION L
3942,HULK/DR. ROBERT BRUC,PLUTO [OLYMPIAN]
3943,SHE-HULK/JENNIFER WA,"JACKSON, CELIA"
3944,NAZE,PRETTY BOY
3945,QUICKSILVER/PIETRO M,ANGEL/WARREN KENNETH
3946,WASP/JANET VAN DYNE ,ANGEL/WARREN KENNETH
3947,FANDRAL [ASGARDIAN],HIGH EVOLUTIONARY/HE
3948,ROGUE /,PROFESSOR X/CHARLES 
3949,RANDOM II/MARSHALL E,"STRUCKER, ANDREAS"
3950,DARK BEAST/HENRY MCC,FATALE/PAMELA GREENW
3951,"CHUNG, LAO WEI",DR. STRANGE/STEPHEN 
3952,ETERNITY/ADAM QADMON,HUMAN TORCH/JOHNNY S
3953,THUNDERBALL/DR. ELIO,BLOODAXE/JACKIE LUKU
3954,"WISDOM, PETER",WOLFSBANE/RAHNE SINC
3955,EELAK,"RICHARDS, NATHANIEL"
3956,"KATZENBERG, NICK","JAMESON, J. JONAH"
3957,"SHAW, HIRAM","MERRYWEATHER, IRENE"
3958,CANNONBALL II/SAM GU,"SUMMERS, MADELYNE MA"
3959,IRON MAN/TONY STARK ,"HOUSTON, STELLA"
3960,KID COLT II/ELRIC FR,"DUGAN, TIMOTHY ALOYI"
3961,PROFESSOR X/CHARLES ,GORGON [INHUMAN]
3962,MR. FANTASTIC/REED R,WARLOCK III
3963,WOLFSBANE/RAHNE SINC,CANNONBALL II/SAM GU
3964,HOGUN [ASGARDIAN],THOR/DR. DONALD BLAK
3965,MADAME MASQUE/GIULIE,FANTASMA
3966,PROFESSOR X | MUTANT,ELEKTRA | MUTANT X-V
3967,ODIN [ASGARDIAN],THOR/DR. DONALD BLAK
3968,BLOODSTONE/ULYSSES B,KABALLA
3969,"DONALDSON, LINDA",GRIFFIN II/JOHNNY HO
3970,VIENNA,"CAGE, LUKE/CARL LUCA"
3971,IRON MAN/TONY STARK ,WIDOW-MAKER
3972,GIDEON,"SUMMERS, NATHAN CHRI"
3973,WOLVERINE/LOGAN ,ROGUE /
3974,"DANVERS, MRS. JOE","RON, TALLA"
3975,COIL,RINGLET
3976,"MACTAGGERT, MOIRA KI",WOLVERINE SKRULL
3977,GAMECOCK/,"CARTER, PEGGY"
3978,CONSUELA,BLACK BRIGADE
3979,"MARTIN, TERI",PROFESSOR X/CHARLES 
3980,INVISIBLE WOMAN/SUE ,THING/BENJAMIN J. GR
3981,"LITTLEWING, SUSIE",BOOMER/TABITHA SMITH
3982,SUNFIRE/SHIRO YOSHID,HELA [ASGARDIAN]
3983,CITIZEN V II/HELMUT ,SILVER SCORPION/ELIS
3984,DAREDEVIL/MATT MURDO,ZABU
3985,IRON FIST/DANIEL RAN,ELECTRO/MAX DILLON
